label,traditional_frequency,online partisan_frequency,nonpartisan online outlet_frequency,advocacy-realted organizational_frequency,socialmedia_aggregate channel_frequency,none_frequency
injured,291,61,81,36,62,10
rally,278,131,93,46,83,27
many,326,243,230,98,124,32
gun_owner,138,104,151,57,43,28
threat,411,117,116,43,73,22
school_shooter,255,134,105,26,94,25
school,1656,683,574,266,409,105
vote,247,109,105,73,102,14
marjory_stoneman_douglas,263,48,68,32,57,9
florida_shoot,241,125,112,24,99,30
gun,2182,1206,1166,478,698,205
fund,79,57,49,66,42,23
liberal,66,214,152,34,80,39
announce,218,136,131,49,67,30
response,210,216,119,39,95,22
least,307,135,98,39,109,13
parkland_shoot,249,187,140,53,113,28
family,419,140,169,149,148,31
parkland_student,269,189,125,25,104,13
fail,160,144,75,20,60,12
community,177,64,80,99,53,14
violence,228,95,102,79,56,8
interview,87,145,65,19,69,19
congress,256,161,117,132,81,76
watch,144,317,192,77,150,45
face,333,158,154,50,116,40
texas,336,155,144,70,116,23
end,311,173,162,101,112,33
lead,302,152,150,65,104,22
twitter,171,211,118,38,341,30
act,210,123,94,87,85,32
time,493,358,364,179,272,56
multiple,255,76,76,28,84,12
dana_loesch,68,153,92,23,93,13
call,891,521,413,181,345,82
campaign,215,173,127,47,110,23
old,119,74,103,58,54,16
florida,1228,489,427,152,371,102
officer,291,113,124,46,105,12
event,218,150,114,69,87,21
like,342,332,312,83,202,61
national_rifle_association,445,262,145,72,174,35
house,294,183,153,57,102,30
law_enforcement,284,135,100,39,72,15
new,747,425,390,141,241,64
love,136,88,105,62,91,20
mass_shooting,230,129,121,79,69,26
trump,733,648,410,135,398,158
change,346,120,193,86,131,34
respond,240,102,73,24,70,14
breitbart,4,292,9,8,6,2
activist,324,306,218,78,152,31
know,324,206,254,123,150,37
protect,199,116,106,88,77,18
high_school,1047,227,210,85,174,30
gun_safety,125,62,54,75,39,15
law,591,298,357,181,169,85
accuse,332,131,98,24,97,21
left,339,293,181,78,176,67
post,281,170,150,45,186,27
shoot,2146,578,579,222,450,115
county,443,86,126,58,68,23
conservative,124,203,101,45,69,20
click_support,22,21,19,144,14,3
subscribe,23,14,18,10,104,2
protester,252,161,90,48,78,19
story,145,113,122,49,99,27
allow,272,124,98,50,66,19
school_shoot,850,368,301,115,266,81
truth,43,65,163,18,42,17
department,237,107,88,53,67,22
need,281,206,188,109,127,87
