from,to,weight
dana_loesch,nra,59
national_rifle_association,nra,119
nra,call,55
nra,david_hogg,51
nra,member,55
nra,gun_control,57
nra,gun,96
break,news,50
democrat,gun_control,61
truth,gun,111
president_trump,trump,66
right,people,50
right,state,55
right,gun,91
world,people,57
world,new,52
world,like,52
world,time,59
world,video,57
world,trump,52
walkout,student,62
new,people,86
new,home,53
new,work,50
new,news,60
new,state,78
new,american,55
new,school,64
new,woman,57
new,gun_control,60
new,like,60
new,call,61
new,america,52
new,man,61
new,time,78
new,report,78
new,student,51
new,florida,50
new,life,54
new,law,66
new,want,57
new,release,55
new,video,66
new,gun,111
new,child,57
new,trump,67
new,police,66
new,many,55
new,shoot,50
president_donald_trump,trump,63
home,police,67
home,man,60
home,report,53
home,people,53
need,people,56
need,gun,59
school_shoot,student,54
work,gun,55
american,people,76
american,news,99
american,state,50
american,gun,78
american,trump,57
american,gun_control,61
american,time,54
american,school,52
watch,video,51
kid,student,58
kid,school,59
kid,child,53
carry,gun,55
news,people,60
news,state,54
news,police,53
news,video,66
news,man,54
news,report,77
news,student,52
news,florida,52
news,school,60
news,gun,74
news,child,53
news,trump,55
news,time,54
news,shoot,68
arm,gun,64
gun_owner,gun,56
accord,report,69
accord,gun,55
accord,police,52
county,state,50
mass_shoot,florida,59
woman,people,61
woman,man,51
woman,time,58
call,school,51
call,people,61
call,police,62
call,like,53
call,report,59
call,student,64
call,david_hogg,50
call,gun,96
call,trump,77
call,time,63
gun_violence,student,53
gun_violence,gun,62
like,people,74
like,many,53
like,time,61
like,student,50
like,life,50
like,want,58
like,gun,73
like,trump,76
like,school,59
many,people,71
many,gun,60
many,trump,50
many,time,53
many,school,50
video,people,69
video,school,58
video,time,59
video,student,57
video,want,50
video,gun,65
video,trump,57
video,man,59
video,shoot,50
shoot,school,125
shoot,people,80
shoot,police,77
shoot,man,79
shoot,report,64
shoot,student,86
shoot,florida,112
shoot,high_school,80
shoot,kill,82
shoot,gun,103
shoot,shot,56
support,gun_control,51
arrest,gun,53
arrest,police,50
may,gun,55
report,people,73
report,state,57
report,police,81
report,florida,58
report,man,62
report,student,59
report,kill,56
report,gun,76
report,trump,63
report,time,58
report,school,64
student,people,62
student,police,54
student,florida,53
student,high_school,72
student,life,53
student,parkland,54
student,kill,79
student,gun_control,96
student,gun,93
student,trump,66
student,walk,56
student,time,53
student,teacher,91
student,protest,80
student,school,183
florida,people,66
florida,man,62
florida,state,69
florida,kill,58
florida,school,54
florida,gun,81
bill,gun_control,70
bill,gun,70
high_school,school,60
life,people,77
life,man,50
life,time,62
life,school,52
life,gun,60
life,child,54
life,trump,52
parkland,david_hogg,53
parkland,school,62
law,people,54
law,state,91
law,gun_control,53
law,gun,193
die,people,50
gun,people,132
gun,man,71
gun,antigun,52
gun,police,88
gun,school,99
gun,america,70
gun,want,115
gun,kill,66
gun,activist,59
gun,state,143
gun,trump,80
gun,ban,107
gun,stop,79
gun,firearm,114
gun,know,65
gun,gun_control,205
gun,time,73
gun,good,60
david_hogg,hogg,93
state,people,65
state,man,52
state,ban,57
state,gun_control,73
state,trump,57
state,firearm,51
state,police,63
state,want,50
school,police,65
school,time,56
school,kill,59
school,gun_control,52
school,child,68
school,trump,51
school,people,63
school,teacher,73
president,trump,80
antigun,gun_control,51
shot,people,54
shot,man,52
shot,time,55
child,people,53
child,man,51
child,kill,53
trump,people,80
trump,time,68
trump,police,55
trump,america,50
trump,man,56
trump,want,60
people,man,63
people,america,52
people,police,70
people,kill,79
people,gun_control,63
people,know,66
people,want,74
people,time,92
man,police,77
man,time,65
man,black,53
man,kill,61
firearm,gun_control,51
police,time,60
police,kill,55
gun_control,want,76
gun_control,time,50
gun_control,nraila,53
want,time,63
want,know,67
time,know,57
time,big,52
