from,to,weight
click_support,family,60
click_support,organize,141
click_support,help,54
click_support,gun_violence,55
uncle,sam,59
uncle,child,59
uncle,misguide,59
world,candle,181
world,post_photo,181
world,click,184
world,age,187
world,light,184
world,lose_gun_violence,182
post_photo,lose_gun_violence,181
post_photo,candle,181
post_photo,age,180
post_photo,light,181
post_photo,click,181
sign,petition,84
sign,gun,51
click,candle,181
click,age,180
click,light,181
click,lose_gun_violence,181
march_life,student,52
candle,lose_gun_violence,181
candle,age,180
candle,light,181
call,gun,60
gun_violence,life,66
gun_violence,organize,59
gun_violence,gun,64
misguide,sam,59
misguide,child,59
student,school,97
student,gun,56
student,protest,52
family,life,53
family,organize,59
bill,gun,52
law,state,50
law,gun,83
age,light,181
age,lose_gun_violence,180
light,lose_gun_violence,181
gun,people,50
gun,school,63
gun,state,81
gun,child,52
gun,gun_control,61
gun,congress,51
school,child,51
organize,help,53
child,sam,60
