from,to,weight
dana_loesch,nra,111
national_rifle_association,nra,210
issue,gun_control,55
blame,nra,59
nra,new,66
nra,republican,66
nra,antigun,50
nra,attack,67
nra,watch,52
nra,state,54
nra,call,81
nra,president,57
nra,student,72
nra,florida,60
nra,parkland,63
nra,group,61
nra,support,55
nra,david_hogg,77
nra,member,78
nra,medium,64
nra,gun_control,104
nra,gun,177
nra,trump,87
nra,people,53
nra,want,53
democrat,new,50
democrat,republican,50
democrat,gun_control,106
democrat,gun,89
wake,gun,50
president_trump,trump,101
cnn,gun,51
right,gun_control,51
right,gun,68
walkout,student,106
walkout,school,50
new,people,82
new,news,57
new,american,62
new,accord,50
new,gun_control,63
new,call,59
new,time,66
new,may,51
new,report,102
new,student,52
new,video,67
new,gun,105
new,child,55
new,trump,70
new,president,51
new,help,55
new,state,69
new,law,64
new,shoot,56
new,school,74
president_donald_trump,trump,116
need,gun,55
school_shoot,gun,63
school_shoot,trump,51
republican,lawmaker,58
republican,florida,55
republican,state,57
republican,gun_control,64
republican,gun,67
republican,trump,56
republican,gop,78
left,gun_control,64
left,student,54
left,gun,58
left,trump,51
left,shoot,53
donald_trump,trump,56
parkland_student,student,57
american,people,70
american,call,52
american,student,50
american,gun_control,81
american,gun,84
american,trump,54
attack,student,57
attack,gun,52
attack,trump,55
attack,school,58
watch,student,64
watch,gun_control,54
watch,gun,59
watch,trump,50
kid,student,55
kid,school,60
kid,child,53
carry,gun,57
news,people,68
news,video,63
news,report,74
news,student,63
news,medium,125
news,school,55
news,gun,62
news,trump,65
news,shoot,60
arm,gun,67
arm,school,73
lawmaker,state,50
lawmaker,gun,67
demand,gun_control,67
accord,report,66
breitbart,gun_control,89
breitbart,gun,60
mass_shoot,florida,52
response,trump,51
school_shooting,school,54
call,school,61
call,people,69
call,state,64
call,gun_control,75
call,time,74
call,report,61
call,student,74
call,florida,72
call,david_hogg,68
call,gun,94
call,trump,91
call,shoot,65
gun_violence,student,54
gun_violence,gun,66
like,gun_control,68
like,people,72
like,time,53
like,student,58
like,david_hogg,53
like,gun,75
like,trump,67
like,want,52
twitter,david_hogg,55
twitter,trump,50
many,people,62
many,gun,52
video,people,58
video,school,52
video,time,54
video,report,50
video,student,70
video,protest,52
video,release,57
video,gun,74
video,trump,78
video,gun_control,55
video,shoot,59
shoot,people,93
shoot,police,77
shoot,man,64
shoot,report,85
shoot,student,109
shoot,florida,91
shoot,parkland,56
shoot,gun,111
shoot,trump,69
shoot,shooter,52
shoot,gun_control,55
shoot,state,53
shoot,kill,67
shoot,school,115
push,gun_control,72
push,gun,50
support,gun_control,89
support,gun,58
arrest,child,56
deputy,report,52
deputy,school,52
official,report,54
official,school,51
report,people,83
report,state,56
report,police,71
report,florida,66
report,student,78
report,gun_control,50
report,gun,93
report,child,51
report,trump,76
report,time,73
report,school,89
student,school,243
student,antigun,60
student,police,55
student,florida,58
student,high_school,111
student,parkland,84
student,david_hogg,75
student,want,52
student,kill,71
student,medium,85
student,gun_control,176
student,march,82
student,gun,124
student,marjory_stoneman_douglas_high_school,79
student,trump,88
student,people,64
student,national,55
student,walk,67
student,time,56
student,teacher,83
student,protest,136
protest,school,61
florida,people,59
florida,state,82
florida,school,54
florida,gun_control,54
florida,gun,92
florida,trump,62
bill,gun,51
high_school,school,58
life,people,52
parkland,massacre,61
parkland,david_hogg,68
parkland,school,78
parkland,gun,59
law,state,77
law,gun,135
city,people,51
gun,people,142
gun,man,75
gun,police,75
gun,school,124
gun,america,64
gun,debate,52
gun,david_hogg,50
gun,group,66
gun,want,107
gun,kill,53
gun,medium,63
gun,activist,66
gun,state,124
gun,child,52
gun,trump,121
gun,ban,110
gun,stop,62
gun,firearm,103
gun,gun_control,219
gun,time,67
gun,teacher,50
gun,second_amendment,64
gun,law_enforcement,52
gun,good,57
david_hogg,antigun,74
david_hogg,hogg,141
david_hogg,activist,50
david_hogg,tweet,58
debate,gun_control,63
medium,gun_control,68
state,people,67
state,gun_control,71
state,want,54
school,gun_control,97
school,time,60
school,marjory_stoneman_douglas_high_school,54
school,child,84
school,trump,58
school,people,61
school,want,57
school,teacher,68
former,president,55
former,trump,52
president,trump,127
march,gun_control,71
shot,people,66
child,people,51
child,trump,54
trump,people,79
trump,time,71
trump,gun_control,105
trump,want,51
trump,tweet,57
trump,help,53
people,man,50
people,police,55
people,want,61
people,kill,64
people,gun_control,83
people,time,75
ban,gun_control,73
man,police,61
firearm,gun_control,66
group,gun_control,56
house,gun_control,53
gun_control,america,56
gun_control,want,82
gun_control,second_amendment,53
gun_control,time,58
gun_control,liberal,54
