from,to,weight
dana_loesch,nra,54
national_rifle_association,nra,356
national_rifle_association,florida,52
national_rifle_association,group,74
national_rifle_association,gun,104
action,gun_violence,52
action,demand,72
action,gun_control,52
action,call,77
action,student,101
action,gun,58
issue,gun,76
protect,student,91
protect,school,64
nra,company,76
nra,new,85
nra,republican,61
nra,state,88
nra,lawmaker,59
nra,call,95
nra,president,55
nra,gov,60
nra,student,57
nra,florida,118
nra,group,134
nra,member,62
nra,gun_control,121
nra,gun,227
nra,trump,85
nra,governor,58
nra,gun_violence,58
rifle,florida,55
rifle,age,54
rifle,ban,63
rifle,gun,97
democrat,gun_control,64
democrat,gun,50
democrat,house,56
lead,student,70
lead,gun,52
lead,police,53
lead,shoot,59
lead,school,51
end,student,63
end,gun,52
end,gun_violence,84
end,shoot,68
california,state,53
california,gun,91
california,law,61
join,student,79
join,gun,51
murder,police,50
murder,student,50
murder,charge,106
murder,shoot,83
well,student,60
wake,call,60
wake,student,65
wake,school,69
wake,gun,72
president_trump,call,53
president_trump,gun,72
president_trump,trump,198
cnn,video,98
right,student,52
right,state,51
right,gun,81
world,new,51
death,kill,72
death,people,57
death,man,78
death,student,53
death,florida,72
death,suspect,53
death,charge,70
death,gun,69
death,shot,55
death,police,65
death,shoot,152
death,school,50
company,gun,81
walkout,plan,56
walkout,walk,84
walkout,student,229
walkout,protest,92
walkout,high_school,60
walkout,school,121
walkout,national,101
walkout,gun_violence,67
new,need,61
new,people,100
new,man,68
new,home,66
new,work,61
new,republican,52
new,sign,59
new,american,51
new,news,59
new,campaign,51
new,group,62
new,lawmaker,58
new,plan,60
new,accord,64
new,county,58
new,school,107
new,woman,62
new,call,98
new,like,78
new,many,53
new,america,62
new,change,55
new,time,87
new,found,56
new,may,58
new,report,88
new,student,100
new,family,64
new,florida,99
new,bill,61
new,life,65
new,law,140
new,city,64
new,want,75
new,kill,54
new,gun_violence,67
new,ban,51
new,release,65
new,video,83
new,gun,199
new,child,59
new,trump,86
new,fire,54
new,support,74
new,national,67
new,president,57
new,firearm,55
new,house,58
new,police,96
new,gun_control,79
new,state,137
new,big,50
